month,strategy,return
2018-11,crowding_top_quantile,0.011261976591927292
2018-12,crowding_top_quantile,-0.012886983318303846
2019-01,crowding_top_quantile,0.023637577295636536
2019-02,crowding_top_quantile,0.08818701728097422
2019-03,crowding_top_quantile,0.04329455691805806
2019-04,crowding_top_quantile,-0.006954730995351821
2019-05,crowding_top_quantile,-0.032403904627270275
2019-06,crowding_top_quantile,0.01613373357066239
2019-07,crowding_top_quantile,0.012104048946803836
2019-08,crowding_top_quantile,0.027231856115367714
2019-09,crowding_top_quantile,-0.020710228785681406
2019-10,crowding_top_quantile,0.004474004296178169
2019-11,crowding_top_quantile,-0.007680181304891898
2019-12,crowding_top_quantile,0.02056002349285735
2020-01,crowding_top_quantile,0.03431344185227947
2020-02,crowding_top_quantile,0.00016846026180705742
2020-03,crowding_top_quantile,-0.06357104447598128
2020-04,crowding_top_quantile,0.04718840703232163
2020-05,crowding_top_quantile,0.0033779806853289074
2020-06,crowding_top_quantile,0.047641551480466005
2020-07,crowding_top_quantile,0.10346534662495266
2020-08,crowding_top_quantile,0.03607714741864898
2020-09,crowding_top_quantile,-0.04538316720004265
2020-10,crowding_top_quantile,-0.008716955081816802
2020-11,crowding_top_quantile,0.06331468475438107
2020-12,crowding_top_quantile,0.011269166341047798
2021-01,crowding_top_quantile,-0.01844799704830935
2021-02,crowding_top_quantile,0.0024245568815510765
2021-03,crowding_top_quantile,-0.013441021815810417
2021-04,crowding_top_quantile,0.031117434989744286
2021-05,crowding_top_quantile,0.00753925657310095
2021-06,crowding_top_quantile,0.06313137732866969
2021-07,crowding_top_quantile,0.010212464094707219
2021-08,crowding_top_quantile,0.0450796680339316
2021-09,crowding_top_quantile,0.0039891933363178644
2021-10,crowding_top_quantile,-0.009627043861625273
2021-11,crowding_top_quantile,-0.0008957698387068724
2021-12,crowding_top_quantile,0.01230056331292384
2022-01,crowding_top_quantile,-0.06446496153907078
2022-02,crowding_top_quantile,0.012137117094271233
2022-03,crowding_top_quantile,0.006938658272904297
2022-04,crowding_top_quantile,-0.03896099929884045
2022-05,crowding_top_quantile,0.0244890977142298
2022-06,crowding_top_quantile,0.03437839193922665
2022-07,crowding_top_quantile,0.0004017402307989748
2022-08,crowding_top_quantile,-0.03310920290419639
2022-09,crowding_top_quantile,-0.01822170439478199
2022-10,crowding_top_quantile,-0.01438073230916792
2022-11,crowding_top_quantile,0.02344658743129302
2022-12,crowding_top_quantile,-0.01346961451224149
2023-01,crowding_top_quantile,0.027752050613228052
2023-02,crowding_top_quantile,0.006715328636301976
2023-03,crowding_top_quantile,0.03831551109668063
2023-04,crowding_top_quantile,-0.006225736763082468
2023-05,crowding_top_quantile,-0.02630907878092259
2023-06,crowding_top_quantile,0.01275121582068417
2023-07,crowding_top_quantile,0.028589674817429023
2023-08,crowding_top_quantile,-0.012709561183396167
2023-09,crowding_top_quantile,-0.027675344281922643
2023-10,crowding_top_quantile,-0.011623673570316462
2023-11,crowding_top_quantile,0.012403276067781244
2023-12,crowding_top_quantile,-0.0046509170805136835
2024-01,crowding_top_quantile,-0.03568784005050396
2024-02,crowding_top_quantile,0.0627870422479635
2024-03,crowding_top_quantile,0.013394494023891923
2024-04,crowding_top_quantile,-0.01330011553144661
2024-05,crowding_top_quantile,-0.0034979275027632317
2024-06,crowding_top_quantile,-0.01768007875860944
2024-07,crowding_top_quantile,-0.014948241861749367
2024-08,crowding_top_quantile,-0.04721020437750201
2024-09,crowding_top_quantile,0.1990822844372
2024-10,crowding_top_quantile,0.01218945906150437
2024-11,crowding_top_quantile,0.0431178125653342
2024-12,crowding_top_quantile,-0.009957510920223012
2025-01,crowding_top_quantile,0.009783556099099311
2025-02,crowding_top_quantile,0.012744654363450403
2025-03,crowding_top_quantile,-0.010282443117578866
2025-04,crowding_top_quantile,0.003478866766919886
2025-05,crowding_top_quantile,0.006123209666332841
2025-06,crowding_top_quantile,0.026942035750867843
