date,symbol,weight,strategy
2018-05-28,512100.SH,0.1,momentum_top_quantile
2018-05-28,513030.SH,0.1,momentum_top_quantile
2018-05-28,513500.SH,0.1,momentum_top_quantile
2018-05-28,518880.SH,0.1,momentum_top_quantile
2018-06-04,159928.SZ,0.1,momentum_top_quantile
2018-06-04,159941.SZ,0.1,momentum_top_quantile
2018-06-04,161226.SZ,0.1,momentum_top_quantile
2018-06-04,510880.SH,0.1,momentum_top_quantile
2018-06-04,511880.SH,0.1,momentum_top_quantile
2018-06-04,518880.SH,0.1,momentum_top_quantile
2018-06-11,159920.SZ,0.1,momentum_top_quantile
2018-06-11,159941.SZ,0.1,momentum_top_quantile
2018-06-11,510300.SH,0.1,momentum_top_quantile
2018-06-11,512880.SH,0.1,momentum_top_quantile
2018-06-11,513030.SH,0.1,momentum_top_quantile
2018-06-11,513500.SH,0.1,momentum_top_quantile
2018-06-19,159941.SZ,0.1,momentum_top_quantile
2018-06-19,161226.SZ,0.1,momentum_top_quantile
2018-06-19,162411.SZ,0.1,momentum_top_quantile
2018-06-19,511880.SH,0.1,momentum_top_quantile
2018-06-19,513500.SH,0.1,momentum_top_quantile
2018-06-19,518880.SH,0.1,momentum_top_quantile
2018-06-25,159941.SZ,0.1,momentum_top_quantile
2018-06-25,162411.SZ,0.1,momentum_top_quantile
2018-06-25,511010.SH,0.1,momentum_top_quantile
2018-06-25,511880.SH,0.1,momentum_top_quantile
2018-06-25,513500.SH,0.1,momentum_top_quantile
2018-06-25,518880.SH,0.1,momentum_top_quantile
2018-07-02,159915.SZ,0.1,momentum_top_quantile
2018-07-02,161226.SZ,0.1,momentum_top_quantile
2018-07-02,162411.SZ,0.1,momentum_top_quantile
2018-07-02,512660.SH,0.1,momentum_top_quantile
2018-07-02,512880.SH,0.1,momentum_top_quantile
2018-07-02,518880.SH,0.1,momentum_top_quantile
2018-07-09,159941.SZ,0.1,momentum_top_quantile
2018-07-09,511010.SH,0.1,momentum_top_quantile
2018-07-09,512660.SH,0.1,momentum_top_quantile
2018-07-09,513030.SH,0.1,momentum_top_quantile
2018-07-09,513500.SH,0.1,momentum_top_quantile
2018-07-09,518880.SH,0.1,momentum_top_quantile
2018-07-16,159915.SZ,0.1,momentum_top_quantile
2018-07-16,159928.SZ,0.1,momentum_top_quantile
2018-07-16,159941.SZ,0.1,momentum_top_quantile
2018-07-16,510300.SH,0.1,momentum_top_quantile
2018-07-16,510500.SH,0.1,momentum_top_quantile
2018-07-16,512660.SH,0.1,momentum_top_quantile
2018-07-23,159928.SZ,0.1,momentum_top_quantile
2018-07-23,159941.SZ,0.1,momentum_top_quantile
2018-07-23,511010.SH,0.1,momentum_top_quantile
2018-07-23,511880.SH,0.1,momentum_top_quantile
2018-07-23,513030.SH,0.1,momentum_top_quantile
2018-07-23,513500.SH,0.1,momentum_top_quantile
2018-07-30,510300.SH,0.1,momentum_top_quantile
2018-07-30,510500.SH,0.1,momentum_top_quantile
2018-07-30,510880.SH,0.1,momentum_top_quantile
2018-07-30,512100.SH,0.1,momentum_top_quantile
2018-07-30,512660.SH,0.1,momentum_top_quantile
2018-07-30,512880.SH,0.1,momentum_top_quantile
2018-08-06,161226.SZ,0.1,momentum_top_quantile
2018-08-06,162411.SZ,0.1,momentum_top_quantile
2018-08-06,511010.SH,0.1,momentum_top_quantile
2018-08-06,511880.SH,0.1,momentum_top_quantile
2018-08-06,513500.SH,0.1,momentum_top_quantile
2018-08-06,518880.SH,0.1,momentum_top_quantile
2018-08-13,159920.SZ,0.1,momentum_top_quantile
2018-08-13,159941.SZ,0.1,momentum_top_quantile
2018-08-13,510300.SH,0.1,momentum_top_quantile
2018-08-13,510880.SH,0.1,momentum_top_quantile
2018-08-13,512880.SH,0.1,momentum_top_quantile
2018-08-13,513500.SH,0.1,momentum_top_quantile
2018-08-20,159941.SZ,0.1,momentum_top_quantile
2018-08-20,511010.SH,0.1,momentum_top_quantile
2018-08-20,511880.SH,0.1,momentum_top_quantile
2018-08-20,512660.SH,0.1,momentum_top_quantile
2018-08-20,512880.SH,0.1,momentum_top_quantile
2018-08-20,513500.SH,0.1,momentum_top_quantile
2018-08-27,159920.SZ,0.1,momentum_top_quantile
2018-08-27,159928.SZ,0.1,momentum_top_quantile
2018-08-27,162411.SZ,0.1,momentum_top_quantile
2018-08-27,510300.SH,0.1,momentum_top_quantile
2018-08-27,512660.SH,0.1,momentum_top_quantile
2018-08-27,512880.SH,0.1,momentum_top_quantile
2018-09-03,159920.SZ,0.1,momentum_top_quantile
2018-09-03,159941.SZ,0.1,momentum_top_quantile
2018-09-03,162411.SZ,0.1,momentum_top_quantile
2018-09-03,510880.SH,0.1,momentum_top_quantile
2018-09-03,513030.SH,0.1,momentum_top_quantile
2018-09-03,513500.SH,0.1,momentum_top_quantile
2018-09-10,511010.SH,0.1,momentum_top_quantile
2018-09-10,511880.SH,0.1,momentum_top_quantile
2018-09-10,512660.SH,0.1,momentum_top_quantile
2018-09-10,512880.SH,0.1,momentum_top_quantile
2018-09-10,513500.SH,0.1,momentum_top_quantile
2018-09-10,518880.SH,0.1,momentum_top_quantile
2018-09-17,161226.SZ,0.1,momentum_top_quantile
2018-09-17,510880.SH,0.1,momentum_top_quantile
2018-09-17,512660.SH,0.1,momentum_top_quantile
2018-09-17,513030.SH,0.1,momentum_top_quantile
2018-09-17,513500.SH,0.1,momentum_top_quantile
2018-09-17,518880.SH,0.1,momentum_top_quantile
2018-09-25,159920.SZ,0.1,momentum_top_quantile
2018-09-25,159928.SZ,0.1,momentum_top_quantile
2018-09-25,162411.SZ,0.1,momentum_top_quantile
2018-09-25,510300.SH,0.1,momentum_top_quantile
2018-09-25,510880.SH,0.1,momentum_top_quantile
2018-09-25,512880.SH,0.1,momentum_top_quantile
2018-10-08,159928.SZ,0.1,momentum_top_quantile
2018-10-08,161226.SZ,0.1,momentum_top_quantile
2018-10-08,162411.SZ,0.1,momentum_top_quantile
2018-10-08,510300.SH,0.1,momentum_top_quantile
2018-10-08,510880.SH,0.1,momentum_top_quantile
2018-10-08,513030.SH,0.1,momentum_top_quantile
2018-10-15,161226.SZ,0.1,momentum_top_quantile
2018-10-15,162411.SZ,0.1,momentum_top_quantile
2018-10-15,511010.SH,0.1,momentum_top_quantile
2018-10-15,511880.SH,0.1,momentum_top_quantile
2018-10-15,513500.SH,0.1,momentum_top_quantile
2018-10-15,518880.SH,0.1,momentum_top_quantile
2018-10-22,159920.SZ,0.1,momentum_top_quantile
2018-10-22,159941.SZ,0.1,momentum_top_quantile
2018-10-22,161226.SZ,0.1,momentum_top_quantile
2018-10-22,513030.SH,0.1,momentum_top_quantile
2018-10-22,513500.SH,0.1,momentum_top_quantile
2018-10-22,518880.SH,0.1,momentum_top_quantile
2018-10-29,159915.SZ,0.1,momentum_top_quantile
2018-10-29,510300.SH,0.1,momentum_top_quantile
2018-10-29,510500.SH,0.1,momentum_top_quantile
2018-10-29,510880.SH,0.1,momentum_top_quantile
2018-10-29,512660.SH,0.1,momentum_top_quantile
2018-10-29,512880.SH,0.1,momentum_top_quantile
2018-11-05,159920.SZ,0.1,momentum_top_quantile
2018-11-05,510500.SH,0.1,momentum_top_quantile
2018-11-05,512100.SH,0.1,momentum_top_quantile
2018-11-05,512660.SH,0.1,momentum_top_quantile
2018-11-05,513030.SH,0.1,momentum_top_quantile
2018-11-05,513500.SH,0.1,momentum_top_quantile
2018-11-12,159915.SZ,0.1,momentum_top_quantile
2018-11-12,159920.SZ,0.1,momentum_top_quantile
2018-11-12,159928.SZ,0.1,momentum_top_quantile
2018-11-12,162411.SZ,0.1,momentum_top_quantile
2018-11-12,512100.SH,0.1,momentum_top_quantile
2018-11-12,513500.SH,0.1,momentum_top_quantile
