date,turnover,transaction_cost,strategy,optimizer_status,optimizer_target_exposure,optimizer_exposure_limit,optimizer_objective,optimizer_signal_component,optimizer_risk_component,optimizer_crowding_component,optimizer_turnover_component,optimizer_ex_ante_volatility,optimizer_iterations
2019-04-08,1.0000000000000002,0.0003000000000000001,momentum_top_quantile,,,,,,,,,,
2019-04-15,1.2000000000000002,0.0003600000000000001,momentum_top_quantile,,,,,,,,,,
2019-04-22,1.0000000000000002,0.0003000000000000001,momentum_top_quantile,,,,,,,,,,
2019-04-29,1.0000000000000002,0.0003000000000000001,momentum_top_quantile,,,,,,,,,,
2019-05-06,0.8,0.00024000000000000003,momentum_top_quantile,,,,,,,,,,
2019-05-13,0.7999999999999999,0.00023999999999999998,momentum_top_quantile,,,,,,,,,,
2019-05-20,1.2000000000000002,0.0003600000000000001,momentum_top_quantile,,,,,,,,,,
2019-05-27,1.2000000000000002,0.0003600000000000001,momentum_top_quantile,,,,,,,,,,
2019-06-03,1.2000000000000002,0.0003600000000000001,momentum_top_quantile,,,,,,,,,,
2019-06-10,1.2000000000000002,0.0003600000000000001,momentum_top_quantile,,,,,,,,,,
2019-06-17,1.0,0.0003,momentum_top_quantile,,,,,,,,,,
2019-06-24,0.6,0.00017999999999999998,momentum_top_quantile,,,,,,,,,,
2019-07-01,1.0,0.0003,momentum_top_quantile,,,,,,,,,,
2019-07-08,1.0000000000000002,0.0003000000000000001,momentum_top_quantile,,,,,,,,,,
2019-07-15,1.0,0.0003,momentum_top_quantile,,,,,,,,,,
2019-07-22,1.2000000000000002,0.0003600000000000001,momentum_top_quantile,,,,,,,,,,
2019-07-29,0.6,0.00017999999999999998,momentum_top_quantile,,,,,,,,,,
2019-08-05,1.0,0.0003,momentum_top_quantile,,,,,,,,,,
2019-08-12,0.6,0.00017999999999999998,momentum_top_quantile,,,,,,,,,,
2019-08-19,1.2000000000000002,0.0003600000000000001,momentum_top_quantile,,,,,,,,,,
2019-08-26,0.4,0.00012000000000000002,momentum_top_quantile,,,,,,,,,,
2019-09-02,0.6,0.00017999999999999998,momentum_top_quantile,,,,,,,,,,
2019-09-09,0.4,0.00012000000000000002,momentum_top_quantile,,,,,,,,,,
2019-09-16,0.8,0.00024000000000000003,momentum_top_quantile,,,,,,,,,,
2019-09-23,1.0,0.0003,momentum_top_quantile,,,,,,,,,,
2019-09-30,0.7999999999999999,0.00023999999999999998,momentum_top_quantile,,,,,,,,,,
2019-10-08,0.2,6.000000000000001e-05,momentum_top_quantile,,,,,,,,,,
2019-10-14,1.2000000000000002,0.0003600000000000001,momentum_top_quantile,,,,,,,,,,
2019-10-21,1.0,0.0003,momentum_top_quantile,,,,,,,,,,
2019-10-28,0.6000000000000001,0.00018000000000000004,momentum_top_quantile,,,,,,,,,,
2019-11-04,0.8,0.00024000000000000003,momentum_top_quantile,,,,,,,,,,
2019-11-11,1.0,0.0003,momentum_top_quantile,,,,,,,,,,
2019-11-18,1.2000000000000002,0.0003600000000000001,momentum_top_quantile,,,,,,,,,,
2019-11-25,1.0,0.0003,momentum_top_quantile,,,,,,,,,,
